#{"t_start": 1734581809.8197176, "env_id": "LunarLanderTargetPos"}
r,l,t
-100.0,1,191.137117
-100.0,1,191.138142
-100.0,1,191.139132
-100.0,1,191.140115
-100.0,1,191.141085
-100.0,1,191.142075
-100.0,1,191.143085
-100.0,1,191.144106
161.540627,289,191.363623
-100.0,1,191.365053
-100.0,1,191.366135
-100.0,1,191.367196
-18.081736,189,192.35661
-20.621066,178,192.497529
-174.191453,115,192.578674
-176.198772,130,192.68516
-39.520012,242,192.88498
-139.456508,158,192.995921
-79.752565,190,193.137378
-61.058712,159,193.254967
-150.929028,232,193.433486
-111.256866,112,193.513748
-118.915752,125,193.601501
-100.0,1,193.60288
-68.289403,162,193.726238
-43.815728,177,194.702628
-95.372514,146,194.807723
-100.0,1,194.808989
-207.189365,158,194.927572
-100.0,1,194.928931
-100.0,1,194.930004
-100.0,1,194.93104
-24.650795,181,195.074616
-100.0,1,195.075905
-185.572562,164,195.196313
-100.0,1,195.197626
-208.060783,130,195.286472
-26.120712,222,195.460596
-100.0,1,195.461967
-100.0,1,195.46301
-100.0,1,195.464032
-100.0,1,195.465009
-100.0,1,195.465957
-100.0,1,195.466879
-117.737054,29,195.48523
-100.0,1,195.486408
-205.409722,147,195.587875
-100.0,1,195.589242
-13.440439,178,195.718129
-16.36219,192,195.872504
-276.236162,224,196.040989
29.306933,119,196.124033
-107.302581,251,197.156457
-108.168096,155,197.267542
-28.248579,141,197.382435
-100.0,1,197.383658
-54.338058,149,197.490281
-100.0,1,197.491475
-100.0,1,197.492476
-85.153235,119,197.573966
-74.786904,143,197.675058
-222.812697,207,197.834776
-18.447726,178,197.970065
-100.0,1,197.97134
-206.079298,118,198.051944
-100.0,1,198.05324
-202.691167,184,198.203212
-227.869735,208,198.373176
-36.391172,206,198.529647
-83.278149,178,199.520091
-99.59559,214,199.693343
-100.0,1,199.694844
-100.0,1,199.695982
-100.0,1,199.697012
-100.0,1,199.69808
-112.675674,203,199.861509
-100.0,1,199.862855
-259.006344,187,200.003342
28.311296,196,200.151124
-128.573234,233,200.331681
-100.0,1,200.33294
-85.311642,199,200.47913
-100.0,1,200.480471
22.981687,131,200.585312
-100.0,1,200.586519
-110.379568,209,200.747742
17.608392,130,200.843255
-100.0,1,200.844511
-100.0,1,200.845576
-100.0,1,200.846623
-167.646961,142,200.951309
-100.0,1,200.952612
153.544601,317,202.076087
-100.0,1,202.077472
-100.0,1,202.078526
-100.0,1,202.079545
-113.494115,149,202.201569
-100.0,1,202.202817
