#{"t_start": 1734312558.9648366, "env_id": "LunarLander-v3"}
r,l,t
246.692879,321,352.833309
240.514368,308,353.121204
280.679877,285,354.140362
254.237372,274,354.374097
246.712232,386,354.7503
248.0702,323,355.031436
281.803118,475,355.453722
275.636052,322,355.786311
256.25729,314,356.902302
275.549075,326,357.169604
45.371888,276,357.39574
49.683994,308,357.65522
247.487391,288,357.906289
275.751976,316,358.205519
23.913275,264,358.429857
234.139616,317,359.511591
237.088852,308,359.779839
267.907005,329,360.079639
276.736069,319,360.351772
219.700857,293,360.602275
252.335846,277,360.849864
44.863933,181,360.984222
260.363215,384,362.176402
14.303916,223,362.345007
254.902222,283,362.58536
2.415137,194,362.731187
170.275401,543,363.330373
260.748654,319,363.65659
101.076574,1000,365.666631
80.35549,1000,366.790846
255.636715,311,367.073094
241.874064,237,368.039243
264.456317,261,368.239666
254.849356,335,368.546347
256.147988,309,368.839916
230.638589,286,369.079611
246.747664,255,369.275424
235.974753,267,369.489652
133.415999,1000,371.410448
230.562384,406,371.755127
281.181753,421,372.134555
213.075074,311,372.415348
238.550243,409,373.668746
239.887507,310,373.914651
253.956373,356,374.248579
217.518284,303,374.519733
277.457121,521,374.929488
264.250606,314,375.98712
245.888371,349,376.357094
260.378171,310,376.630449
258.807419,337,376.931376
256.342573,294,377.19348
260.275837,321,377.474798
268.375416,418,378.668412
272.399368,326,378.981059
263.395239,321,379.288914
265.625828,283,379.567998
233.084904,320,379.888478
278.935744,284,380.118916
197.797319,382,380.474288
248.37264,311,381.556356
228.692236,431,381.963055
254.412078,343,382.294467
249.510435,305,382.577281
237.970644,317,382.869021
263.833385,272,383.100392
16.421444,232,384.088909
155.564297,1000,385.063792
265.543482,313,385.357906
230.530423,296,385.617017
52.122328,263,385.813742
270.848025,329,386.900311
264.366975,225,387.07332
17.985826,224,387.246207
6.981927,248,387.438951
234.793712,310,387.725377
256.890304,285,387.962915
80.332249,184,388.098891
11.484636,279,388.311257
258.105809,270,389.353816
44.52621,197,389.496902
224.580144,294,389.758167
242.172809,313,390.035593
256.451721,334,390.342111
222.893449,305,390.619564
257.205913,319,390.912782
239.992078,293,391.958368
247.367988,339,392.253658
240.875053,282,392.483054
37.755364,261,392.699912
280.011156,205,392.855928
80.936646,1000,395.174533
248.667874,312,395.447325
246.050054,334,395.742206
285.717051,297,395.992304
253.619096,295,396.260791
2.025516,234,396.445602
45.286499,252,396.658157
254.912308,281,397.733215
34.781247,240,397.933747
272.879723,317,398.198558
6.326491,251,398.405608
296.805282,297,398.666809
251.425052,255,398.881327
214.265836,287,399.141478
170.280531,964,401.083678
242.190285,351,401.423383
235.166263,289,401.659263
271.988692,282,401.890227
30.552431,259,402.104942
259.476727,274,403.172414
244.83899,323,403.474673
278.115199,311,403.806276
238.483362,291,404.058626
230.190275,272,404.308964
104.797065,1000,406.4138
282.026681,247,406.615648
244.147593,336,406.947353
254.769135,324,407.219449
245.727366,923,408.843528
229.049915,274,409.076014
248.034879,293,409.354167
248.111132,305,409.647576
-12.760052,242,409.848498
267.188795,321,410.14943
237.127448,333,410.470992
283.689542,266,411.501803
259.156909,362,411.829424
222.106754,613,412.527251
257.615424,272,412.757716
250.775676,253,412.989833
257.64106,311,413.271633
259.242151,293,414.345156
212.111013,298,414.610512
108.190231,1000,415.674145
231.974633,302,415.932836
248.722585,292,417.008917
273.256598,245,417.203012
-25.234462,237,417.38985
275.001823,278,417.648977
262.440056,283,417.912613
102.978592,1000,419.849461
224.244572,275,420.073365
270.598849,261,420.309401
-29.424091,297,420.554569
248.920509,297,420.798911
239.000163,320,421.115563
12.553121,281,421.340688
247.810126,295,422.397705
235.097642,285,422.637793
260.711424,255,422.858303
34.397237,223,423.036788
267.258478,263,423.258058
233.501169,249,423.458345
244.919772,267,423.685255
87.608603,1000,425.688586
279.943486,279,425.935372
271.745592,366,426.320323
255.962364,329,426.625943
272.539588,423,426.981243
295.569917,248,427.971532
43.218839,213,428.147342
275.32766,249,428.359835
240.540614,305,428.610013
259.622675,291,428.872969
252.206053,301,429.140565
271.600738,264,429.36059
235.612961,292,429.616907
276.161075,284,430.66855
271.94761,249,430.878214
283.768867,308,431.146333
272.399815,267,431.36869
245.123293,303,431.653387
223.206886,338,431.956007
21.216644,272,432.179765
267.453569,293,433.224791
234.366711,311,433.516466
271.608468,278,433.771202
118.726986,1000,434.98052
67.20796,243,435.975301
33.719111,211,436.151488
5.223095,213,436.31429
153.226004,467,436.797528
259.423156,320,437.079224
61.734551,273,437.300972
235.620571,326,437.587306
28.911673,216,438.574197
19.796399,225,438.76002
240.36999,299,439.017737
263.311291,242,439.213271
65.76842,215,439.383757
29.288856,154,439.497101
250.376005,291,439.763456
254.823749,294,440.016218
249.135913,287,440.267151
282.996103,289,441.309164
-0.124003,254,441.514488
253.717088,315,441.795473
264.554163,267,442.021083
289.261277,284,442.256198
227.118841,284,442.490529
-0.69012,215,442.660176
272.772065,389,443.811431
246.79919,264,444.032013
148.056721,533,444.613571
-15.445399,252,444.815844
240.637292,282,445.056147
246.932122,285,445.300085
231.59943,258,446.331149
248.904432,272,446.569121
28.862135,200,446.718154
273.191576,253,446.938277
269.070533,264,447.180273
243.362313,263,447.415132
244.813483,307,447.694521
251.546015,285,447.915614
265.814019,298,448.978261
267.052254,271,449.19179
290.092629,269,449.411299
230.458566,266,449.639929
14.90949,214,449.804521
264.24924,262,450.011527
255.300332,337,450.310494
270.860729,274,450.546911
287.517161,245,451.554113
189.724544,442,451.983941
194.924923,486,452.521256
255.392715,296,452.777672
235.557906,276,453.012654
268.655383,346,454.146667
266.660771,257,454.349532
296.194744,321,454.607743
239.942821,271,454.837404
295.385482,262,455.039501
212.920418,284,455.273819
249.495862,304,455.536611
247.585641,269,455.769822
39.467671,219,456.744758
237.092871,258,456.948294
245.172689,260,457.164374
244.054665,231,457.357219
266.791523,277,457.592555
264.139752,358,457.934148
239.400725,271,458.160464
288.413851,250,459.175435
247.741946,291,459.414036
235.512758,278,459.648636
3.221407,195,459.813972
50.005793,207,459.987279
227.284875,320,460.279882
8.86783,156,460.389616
276.207494,262,460.608282
272.571479,293,460.855597
261.117494,283,461.890916
286.110439,280,462.129416
279.12665,237,462.322484
251.119434,296,462.565447
231.863051,293,462.825657
240.977215,256,463.039118
282.413606,239,463.238474
229.513184,248,464.24626
